frequency = 1498962292.904734 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
6.409269293276836e-01 -3.688025477564424e-04 1.692248621717627e-04 2.005795613094606e-02 1.181222778052098e-03 -0.000000000000000e+00 0.000000000000000e+00
6.514339281691210e-01 -3.840280807008613e-04 2.006609251078888e-04 1.904490705978185e-02 -1.344662554246658e-03 -0.000000000000000e+00 0.000000000000000e+00
6.619409270105584e-01 -3.904913046269618e-04 2.253753020646007e-04 1.785945237992828e-02 -3.905003884563945e-03 -0.000000000000000e+00 0.000000000000000e+00
6.724479258519959e-01 -3.878555545826208e-04 2.434083941083775e-04 1.653930721363935e-02 -6.443450270093110e-03 -0.000000000000000e+00 0.000000000000000e+00
6.829549246934333e-01 -3.760988347669530e-04 2.550377086863368e-04 1.512111559417773e-02 -8.903409970931806e-03 -0.000000000000000e+00 0.000000000000000e+00
6.934619235348707e-01 -3.555040763554287e-04 2.607511937774392e-04 1.363916097235942e-02 -1.122993005388577e-02 -0.000000000000000e+00 0.000000000000000e+00
7.039689223763081e-01 -3.266389826279385e-04 2.612132739014161e-04 1.212426744765883e-02 -1.337146261812946e-02 -0.000000000000000e+00 0.000000000000000e+00
7.144759212177456e-01 -2.903266055201728e-04 2.572251484682049e-04 1.060292963434809e-02 -1.528145896783703e-02 -0.000000000000000e+00 0.000000000000000e+00
7.249829200591831e-01 -2.476080891611731e-04 2.496811025001676e-04 9.096698706036787e-03 -1.691974150884118e-02 -0.000000000000000e+00 0.000000000000000e+00
7.354899189006204e-01 -1.996992456498582e-04 2.395226999839023e-04 7.621840905190967e-03 -1.825361312921018e-02 -0.000000000000000e+00 0.000000000000000e+00
7.459969177420579e-01 -1.479427896514621e-04 2.276927773015319e-04 6.189273102731758e-03 -1.925867492445061e-02 -0.000000000000000e+00 0.000000000000000e+00
7.565039165834954e-01 -9.375814746592062e-05 2.150911274096567e-04 4.804768303245515e-03 -1.991933490423562e-02 -0.000000000000000e+00 0.000000000000000e+00
7.670109154249328e-01 -3.859077175770654e-05 2.025336664101951e-04 3.469412766496674e-03 -2.022900231275582e-02 -0.000000000000000e+00 0.000000000000000e+00
7.775179142663702e-01 1.613716327310207e-05 1.907167073611396e-04 2.180286085942696e-03 -2.018997395730251e-02 -0.000000000000000e+00 0.000000000000000e+00
7.880249131078076e-01 6.907293575758480e-05 1.801877384978583e-04 9.313265233097003e-04 -1.981303003780600e-02 0.000000000000000e+00 0.000000000000000e+00
7.985319119492451e-01 1.189747540888913e-04 1.713238236110802e-04 -2.856635136993125e-04 -1.911676700845145e-02 0.000000000000000e+00 0.000000000000000e+00
8.090389107906826e-01 1.647472121064670e-04 1.643184221490103e-04 -1.479922468805795e-03 -1.812670363581653e-02 0.000000000000000e+00 0.000000000000000e+00
8.195459096321199e-01 2.054696750702297e-04 1.591770781208209e-04 -2.660599123829090e-03 -1.687420336270187e-02 0.000000000000000e+00 0.000000000000000e+00
8.300529084735574e-01 2.404168607260971e-04 1.557220635029987e-04 -3.835641754193380e-03 -1.539526113056420e-02 0.000000000000000e+00 0.000000000000000e+00
8.405599073149949e-01 2.690712083124992e-04 1.536056975103322e-04 -5.010761031879231e-03 -1.372920582153561e-02 0.000000000000000e+00 0.000000000000000e+00
8.510669061564322e-01 2.911269616491729e-04 1.523317116711299e-04 -6.188517439039440e-03 -1.191737039977213e-02 0.000000000000000e+00 0.000000000000000e+00
8.615739049978697e-01 3.064862175916499e-04 1.512837054958215e-04 -7.367578560815401e-03 -1.000178068924037e-02 0.000000000000000e+00 0.000000000000000e+00
8.720809038393071e-01 3.152474957998384e-04 1.497594509609818e-04 -8.542184367515995e-03 -8.023910627639481e-03 0.000000000000000e+00 0.000000000000000e+00
8.825879026807446e-01 3.176876587010628e-04 1.470095668838575e-04 -9.701849760115552e-03 -6.023546963767575e-03 0.000000000000000e+00 0.000000000000000e+00
8.930949015221820e-01 3.142382419216136e-04 1.422789054891802e-04 -1.083132358542630e-02 -4.037799962862573e-03 0.000000000000000e+00 0.000000000000000e+00
9.036019003636194e-01 3.054574373208734e-04 1.348488798204691e-04 -1.191081242179234e-02 -2.100289050037648e-03 0.000000000000000e+00 0.000000000000000e+00
9.141088992050569e-01 2.919990971752300e-04 1.240789164146513e-04 -1.291646611868382e-02 -2.405237961854858e-04 0.000000000000000e+00 0.000000000000000e+00
9.246158980464944e-01 2.745801953821826e-04 1.094452445449404e-04 -1.382111078646854e-02 1.516508398222865e-03 0.000000000000000e+00 0.000000000000000e+00
9.351228968879317e-01 2.539481885288925e-04 9.057533034379677e-05 -1.459520411827357e-02 3.150545757615079e-03 0.000000000000000e+00 0.000000000000000e+00
9.456298957293692e-01 2.308496674129843e-04 6.727642766725958e-05 -1.520797800972431e-02 4.646053515650867e-03 0.000000000000000e+00 0.000000000000000e+00
9.561368945708066e-01 2.060015815543548e-04 3.955694153131911e-05 -1.562872481754993e-02 5.992038379037161e-03 0.000000000000000e+00 0.000000000000000e+00
9.666438934122441e-01 1.800661609678711e-04 7.639575982997584e-06 -1.582817661012519e-02 7.181698650610544e-03 0.000000000000000e+00 0.000000000000000e+00
9.771508922536815e-01 1.536304584500642e-04 -2.803444397332487e-05 -1.577992169717202e-02 8.211938807059754e-03 0.000000000000000e+00 0.000000000000000e+00
9.876578910951189e-01 1.271912009182876e-04 -6.681043920310731e-05 -1.546179979596398e-02 9.082782095305424e-03 0.000000000000000e+00 0.000000000000000e+00
9.981648899365564e-01 1.011453801830994e-04 -1.078346305041781e-04 -1.485721653185693e-02 9.796717863756426e-03 0.000000000000000e+00 0.000000000000000e+00
1.008671888777994e+00 7.578674298285258e-05 -1.500774110328686e-04 -1.395631963129564e-02 1.035802177984836e-02 0.000000000000000e+00 0.000000000000000e+00
1.019178887619431e+00 5.130806854539037e-05 -1.923648117038906e-04 -1.275698310818925e-02 1.077208677461690e-02 0.000000000000000e+00 0.000000000000000e+00
1.029685886460869e+00 2.780886067039586e-05 -2.334171020561021e-04 -1.126555184580621e-02 1.104480054270838e-02 0.000000000000000e+00 -0.000000000000000e+00
1.040192885302306e+00 5.307841064435865e-06 -2.718931739963278e-04 -9.497307030684266e-03 1.118200182540472e-02 0.000000000000000e+00 -0.000000000000000e+00
1.050699884143744e+00 -1.624057880205779e-05 -3.064391091858074e-04 -7.476622621701686e-03 1.118904269364285e-02 0.000000000000000e+00 -0.000000000000000e+00
1.061206882985181e+00 -3.692684029552804e-05 -3.357391422171779e-04 -5.236794091023078e-03 1.107047786269580e-02 0.000000000000000e+00 -0.000000000000000e+00
1.071713881826618e+00 -5.686491193200339e-05 -3.585671086693700e-04 -2.819532655926070e-03 1.082989499250874e-02 0.000000000000000e+00 -0.000000000000000e+00
1.082220880668056e+00 -7.617028612722085e-05 -3.738364147549547e-04 -2.741306950715628e-04 1.046989227518500e-02 0.000000000000000e+00 -0.000000000000000e+00
1.092727879509493e+00 -9.493850904532033e-05 -3.806465861417463e-04 2.343683449355536e-03 9.992201723554788e-03 0.000000000000000e+00 -0.000000000000000e+00
1.103234878350931e+00 -1.132254200957685e-04 -3.783245475014342e-04 4.973171006006232e-03 9.397948800271123e-03 0.000000000000000e+00 -0.000000000000000e+00
1.113741877192368e+00 -1.310301911379587e-04 -3.664589485869690e-04 7.550247176637889e-03 8.688031707680892e-03 0.000000000000000e+00 -0.000000000000000e+00
1.124248876033806e+00 -1.482821204270626e-04 -3.449260817344634e-04 1.000933305809131e-02 7.863597117426530e-03 0.000000000000000e+00 -0.000000000000000e+00
1.134755874875243e+00 -1.648319585600660e-04 -3.139062217787378e-04 1.228533554978144e-02 6.926583645064897e-03 0.000000000000000e+00 -0.000000000000000e+00
1.145262873716681e+00 -1.804483307152667e-04 -2.738895524701328e-04 1.431568954479031e-02 5.880300214100734e-03 0.000000000000000e+00 -0.000000000000000e+00
1.155769872558118e+00 -1.948195802761926e-04 -2.256712118092103e-04 1.604239280755603e-02 4.730003796493921e-03 0.000000000000000e+00 -0.000000000000000e+00
1.166276871399555e+00 -2.075611035973806e-04 -1.703353791090818e-04 1.741396249342668e-02 3.483439990932854e-03 0.000000000000000e+00 -0.000000000000000e+00
1.176783870240993e+00 -2.182279848879470e-04 -1.092287250120280e-04 1.838724335243483e-02 2.151310566808339e-03 0.000000000000000e+00 -0.000000000000000e+00
1.187290869082430e+00 -2.263324850023799e-04 -4.392393765896197e-05 1.892900127862678e-02 7.476344506429613e-04 0.000000000000000e+00 -0.000000000000000e+00
1.197797867923868e+00 -2.313656990917059e-04 2.382559057606492e-05 1.901724192241644e-02 -7.100274170903951e-04 0.000000000000000e+00 -0.000000000000000e+00
1.208304866765305e+00 -2.328224858230852e-04 9.213849462434164e-05 1.864220239346153e-02 -2.200507521514382e-03 0.000000000000000e+00 -0.000000000000000e+00
1.218811865606743e+00 -2.302285943265017e-04 1.590638756070843e-04 1.780697437897240e-02 -3.699145025441032e-03 0.000000000000000e+00 -0.000000000000000e+00
