frequency = 599584917.1618936 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
2.311539745116236e-01 1.607641053505648e-04 6.707214544360598e-06 -1.102155757818563e-02 -2.763977100818159e-02 0.000000000000000e+00 0.000000000000000e+00
2.416609733530610e-01 1.644839960857171e-04 6.189736992469295e-06 -1.088830310725588e-02 -2.650180941367311e-02 0.000000000000000e+00 0.000000000000000e+00
2.521679721944984e-01 1.677846046041021e-04 5.581211240207251e-06 -1.074967229232780e-02 -2.533830846562605e-02 0.000000000000000e+00 0.000000000000000e+00
2.626749710359359e-01 1.706597227910766e-04 4.881443196396029e-06 -1.060569478844595e-02 -2.415212004403450e-02 0.000000000000000e+00 0.000000000000000e+00
2.731819698773733e-01 1.731044440513260e-04 4.090640962975793e-06 -1.045639473123083e-02 -2.294613520881433e-02 0.000000000000000e+00 0.000000000000000e+00
2.836889687188108e-01 1.751151727364497e-04 3.209416870355973e-06 -1.030179044025615e-02 -2.172327555929844e-02 0.000000000000000e+00 0.000000000000000e+00
2.941959675602482e-01 1.766896291059028e-04 2.238788117654405e-06 -1.014189420476381e-02 -2.048648454644056e-02 0.000000000000000e+00 0.000000000000000e+00
3.047029664016856e-01 1.778268498266429e-04 1.180176026894658e-06 -9.976712158309645e-03 -1.923871876709421e-02 0.000000000000000e+00 0.000000000000000e+00
3.152099652431231e-01 1.785271840334236e-04 3.540392405363069e-08 -9.806244248369898e-03 -1.798293926961127e-02 0.000000000000000e+00 0.000000000000000e+00
3.257169640845605e-01 1.787922849883174e-04 -1.193306336567251e-06 -9.630484306306667e-03 -1.672210289976905e-02 0.000000000000000e+00 0.000000000000000e+00
3.362239629259979e-01 1.786250973918859e-04 -2.503339185938952e-06 -9.449420222413145e-03 -1.545915371568651e-02 0.000000000000000e+00 0.000000000000000e+00
3.467309617674353e-01 1.780298404224335e-04 -3.891691467216087e-06 -9.263034229949663e-03 -1.419701449997166e-02 0.000000000000000e+00 0.000000000000000e+00
3.572379606088728e-01 1.770119865768375e-04 -5.354979855787278e-06 -9.071303301402069e-03 -1.293857839672028e-02 0.000000000000000e+00 0.000000000000000e+00
3.677449594503102e-01 1.755782364283760e-04 -6.889449540347846e-06 -8.874199659131774e-03 -1.168670070045305e-02 0.000000000000000e+00 0.000000000000000e+00
3.782519582917477e-01 1.737364894037698e-04 -8.490984140948830e-06 -8.671691401893040e-03 -1.044419082320779e-02 0.000000000000000e+00 0.000000000000000e+00
3.887589571331851e-01 1.714958107142285e-04 -1.015511683169009e-05 -8.463743247598856e-03 -9.213804465248679e-03 0.000000000000000e+00 0.000000000000000e+00
3.992659559746226e-01 1.688663945806535e-04 -1.187704263780105e-05 -8.250317391778802e-03 -7.998236013907605e-03 0.000000000000000e+00 0.000000000000000e+00
4.097729548160600e-01 1.658595239079417e-04 -1.365163187506945e-05 -8.031374480149253e-03 -6.800111194072673e-03 0.000000000000000e+00 0.000000000000000e+00
4.202799536574974e-01 1.624875265720753e-04 -1.547344469855927e-05 -7.806874692715906e-03 -5.621979992714065e-03 0.000000000000000e+00 0.000000000000000e+00
4.307869524989348e-01 1.587637285001107e-04 -1.733674672776131e-05 -7.576778935693954e-03 -4.466309878761791e-03 0.000000000000000e+00 0.000000000000000e+00
4.412939513403723e-01 1.547024037276343e-04 -1.923552571407270e-05 -7.341050136554058e-03 -3.335479338339696e-03 0.000000000000000e+00 0.000000000000000e+00
4.518009501818097e-01 1.503187216316609e-04 -2.116350921670950e-05 -7.099654636379423e-03 -2.231771744134664e-03 0.000000000000000e+00 0.000000000000000e+00
4.623079490232472e-01 1.456286915441425e-04 -2.311418325266247e-05 -6.852563672686683e-03 -1.157369576319281e-03 0.000000000000000e+00 0.000000000000000e+00
4.728149478646846e-01 1.406491049576452e-04 -2.508081188574776e-05 -6.599754944820865e-03 -1.143490110424651e-04 0.000000000000000e+00 0.000000000000000e+00
4.833219467061221e-01 1.353974755462016e-04 -2.705645772003618e-05 -6.341214253002832e-03 8.953251088934258e-04 0.000000000000000e+00 0.000000000000000e+00
4.938289455475595e-01 1.298919772213690e-04 -2.903400326161603e-05 -6.076937201138211e-03 1.869803908054066e-03 0.000000000000000e+00 0.000000000000000e+00
5.043359443889969e-01 1.241513804613330e-04 -3.100617311279409e-05 -5.806930952536703e-03 2.807358705477746e-03 0.000000000000000e+00 0.000000000000000e+00
5.148429432304343e-01 1.181949871415090e-04 -3.296555696148308e-05 -5.531216026799078e-03 3.706384824743296e-03 0.000000000000000e+00 0.000000000000000e+00
5.253499420718718e-01 1.120425641082006e-04 -3.490463332773996e-05 -5.249828125287562e-03 4.565404978460624e-03 0.000000000000000e+00 0.000000000000000e+00
5.358569409133092e-01 1.057142757343524e-04 -3.681579402799798e-05 -4.962819971819871e-03 5.383072220180669e-03 0.000000000000000e+00 0.000000000000000e+00
5.463639397547466e-01 9.923061569912548e-05 -3.869136931594558e-05 -4.670263154525660e-03 6.158172458289910e-03 0.000000000000000e+00 0.000000000000000e+00
5.568709385961841e-01 9.261233823331302e-05 -4.052365365705986e-05 -4.372249954183893e-03 6.889626528016601e-03 0.000000000000000e+00 0.000000000000000e+00
5.673779374376215e-01 8.588038907210290e-05 -4.230493209150956e-05 -4.068895143826770e-03 7.576491819234229e-03 0.000000000000000e+00 0.000000000000000e+00
5.778849362790589e-01 7.905583635570062e-05 -4.402750713756694e-05 -3.760337743966049e-03 8.217963459288720e-03 0.000000000000000e+00 0.000000000000000e+00
5.883919351204964e-01 7.215980171518938e-05 -4.568372618443249e-05 -3.446742717445243e-03 8.813375051616173e-03 0.000000000000000e+00 0.000000000000000e+00
5.988989339619338e-01 6.521339177949012e-05 -4.726600932041593e-05 -3.128302587724249e-03 9.362198972404662e-03 0.000000000000000e+00 0.000000000000000e+00
