frequency = 599584917.1618936 Hz; phi = 1.5707963267948966 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
2.311539745116236e-01 9.843962351767856e-21 4.106984411472890e-22 -6.748757604871645e-19 -1.692447854716770e-18 6.916427442468231e-03 2.553152204672526e-02
2.416609733530610e-01 1.007173996586696e-20 3.790120797695743e-22 -6.667162774223547e-19 -1.622767803503398e-18 6.544941499364498e-03 2.424287858969480e-02
2.521679721944984e-01 1.027384394873090e-20 3.417506240342520e-22 -6.582275882341115e-19 -1.551523917911861e-18 6.179398113019168e-03 2.292936431800796e-02
2.626749710359359e-01 1.044989416297333e-20 2.989021892843011e-22 -6.494115087702050e-19 -1.478890825227474e-18 5.821686131361737e-03 2.159457682339181e-02
2.731819698773733e-01 1.059959016628192e-20 2.504795180884676e-22 -6.402695169111541e-19 -1.405045551813842e-18 5.473590127818369e-03 2.024214423962633e-02
2.836889687188108e-01 1.072271178869145e-20 1.965201048705479e-22 -6.308027344073246e-19 -1.330166994034538e-18 5.136776942423700e-03 1.887571299682928e-02
2.941959675602482e-01 1.081911943635384e-20 1.370862351127297e-22 -6.210119137577546e-19 -1.254435386279007e-18 4.812783278082950e-03 1.749893563164398e-02
3.047029664016856e-01 1.088875412213276e-20 7.226493968834920e-23 -6.108974305344194e-19 -1.178031767890902e-18 4.503004454698270e-03 1.611545870168660e-02
3.152099652431231e-01 1.093163722436614e-20 2.167865113476741e-24 -6.004592815211669e-19 -1.101137450789534e-18 4.208684413816218e-03 1.472891085145809e-02
3.257169640845605e-01 1.094786997615922e-20 -7.306893927396692e-23 -5.896970889978639e-19 -1.023933489560742e-18 3.930907055607256e-03 1.334289107555026e-02
3.362239629259979e-01 1.093763268841786e-20 -1.532853160620139e-22 -5.786101114588263e-19 -9.466001557721196e-19 3.670588978465533e-03 1.196095722339151e-02
3.467309617674353e-01 1.090118371130236e-20 -2.382973749297624e-22 -5.671972610050112e-19 -8.693164182419426e-19 3.428473679343802e-03 1.058661478800800e-02
3.572379606088728e-01 1.083885813860191e-20 -3.278979469944223e-22 -5.554571276078432e-19 -7.922594309530294e-19 3.205127260427589e-03 9.223306019289813e-03
3.677449594503102e-01 1.075106626209740e-20 -4.218571163737097e-22 -5.433880103775131e-19 -7.156040302701478e-19 3.000935674602345e-03 7.874399400167211e-03
3.782519582917477e-01 1.063829178217123e-20 -5.199228274911962e-22 -5.309879559260968e-19 -6.395222430662788e-19 2.816103529079235e-03 6.543179521775873e-03
3.887589571331851e-01 1.050108978291801e-20 -6.218215661448342e-22 -5.182548038488481e-19 -5.641828073168192e-19 2.650654453023771e-03 5.232837391306504e-03
3.992659559746226e-01 1.034008448033757e-20 -7.272591124859849e-22 -5.051862392895825e-19 -4.897507066628517e-19 2.504433021629507e-03 3.946461203694540e-03
